Bins,Label
1.3,Day 0
1.75,Day 1
2.2,Day 2
2.65,Day 3
3.1,Day 4
3.55,Day 5
4.0,Day 6
4.45,Day 7
4.9,Day 8
5.35,Day 9
5.8,Day 10
6.25,Day 11
6.7,Day 12
7.15,Day 13
7.6,Day 14
8.05,Day 15
8.5,Day 16
8.95,Day 17
9.4,Day 18
9.85,Day 19
10.3,Day 20
10.75,Day 21
11.2,Day 22
11.65,Day 23
12.1,Day 24
12.55,Day 25
13.0,Day 26
13.45,Day 27
13.9,Day 28
14.35,Day 29
14.8,Day 30
15.25,Day 31
15.7,Day 32
16.15,Day 33
16.6,Day 34
17.05,Day 35
17.5,Day 36
17.95,Day 37
18.4,Day 38
18.85,Day 39
19.3,Day 40
19.75,Day 41
20.2,Day 42
20.65,Day 43
21.1,Day 44
21.55,Day 45
22.0,Day 46
22.45,Day 47
22.9,Day 48
23.35,Day 49
23.8,Day 50
24.25,Day 51
24.7,Day 52
25.15,Day 53
25.6,Day 54
26.05,Day 55
26.5,Day 56
26.95,Day 57
27.4,Day 58
27.85,Day 59
28.3,Day 60
28.75,Day 61
29.2,Day 62
29.65,Day 63
30.1,Day 64
30.55,Day 65
31.0,Day 66
